gene,r_cnv_rna,p_cnv_rna,r_cnv_prot,p_cnv_prot,prot_att,prot_att_class
PDCD7,0.618570467,3.14E-40,-0.094634588,0.291859359,0.713205054,c_high
SPOP,0.627037951,1.32E-41,-0.074777562,0.452833602,0.701815513,c_high
TOX4,0.677839719,7.83E-51,-0.0134332,0.818283242,0.691272918,c_high
ARPC1A,0.557121077,2.17E-31,-0.123923857,0.018996612,0.681044935,c_high
COPS5,0.656991067,7.89E-47,-0.017499251,0.741774562,0.674490318,c_high
SMARCB1,0.57146182,2.74E-33,-0.095535671,0.085992882,0.666997491,c_high
KIAA1429,0.627139917,1.27E-41,-0.036159362,0.534081703,0.663299279,c_high
UTP3,0.627099856,1.29E-41,-0.034802468,0.544855634,0.661902324,c_high
SPCS1,0.482953161,6.68E-23,-0.16968791,0.003300236,0.652641071,c_high
RCL1,0.660639379,1.66E-47,0.00936549,0.869546996,0.651273889,c_high
SNX14,0.515499189,2.26E-26,-0.134437888,0.071973648,0.649937077,c_high
INTS4,0.67222694,1.01E-49,0.031047593,0.574114037,0.641179347,c_high
GPN2,0.546922848,4.28E-30,-0.085260943,0.375820595,0.63218379,c_high
TADA2B,0.657295555,6.94E-47,0.029129473,0.731683394,0.628166082,c_high
MYL12B,0.558637715,1.38E-31,-0.063894535,0.377351118,0.62253225,c_high
SNRPD3,0.59285588,2.67E-36,-0.025363705,0.627688439,0.618219585,c_high
CCNK,0.676274393,1.61E-50,0.058373302,0.289647734,0.617901091,c_high
MRPL51,0.599695586,2.61E-37,-0.017568374,0.778832135,0.617263959,c_high
POC1B,0.437442529,1.24E-18,-0.177244954,0.089195594,0.614687483,c_high
KDM1A,0.573202854,1.59E-33,-0.040667434,0.441109972,0.613870288,c_high
GEMIN7,0.497245913,2.22E-24,-0.110982208,0.201735152,0.608228121,c_high
INTS10,0.710846454,6.78E-58,0.110901391,0.04474574,0.599945063,c_high
SMARCE1,0.620299544,1.66E-40,0.021475671,0.686342387,0.598823873,c_high
NDUFA9,0.57641553,5.76E-34,-0.02154913,0.680320747,0.59796466,c_high
C18orf8,0.663148272,5.60E-48,0.06803544,0.231550884,0.595112832,c_high
KXD1,0.533199688,2.02E-28,-0.057914146,0.455863848,0.591113834,c_high
C18orf21,0.618186903,3.61E-40,0.027157238,0.704103707,0.591029664,c_high
CPSF2,0.548327687,2.86E-30,-0.040246575,0.442701329,0.588574262,c_high
SKIV2L,0.536585218,7.94E-29,-0.051277647,0.32859856,0.587862864,c_high
SUPT4H1,0.564304938,2.50E-32,-0.02288337,0.682477975,0.587188308,c_high
ANAPC16,0.527307721,1.00E-27,-0.05638998,0.503533537,0.583697701,c_high
COG1,0.627669166,1.04E-41,0.045114388,0.39407616,0.582554779,c_high
CNOT10,0.600191329,2.20E-37,0.018287392,0.747248544,0.581903936,c_high
L3MBTL2,0.565942191,1.51E-32,-0.014194418,0.845476824,0.580136609,c_high
UBE2D3,0.569868585,4.51E-33,-0.006251004,0.925377772,0.576119589,c_high
PSMD7,0.52135777,4.90E-27,-0.054425624,0.29774354,0.575783394,c_high
UBL7,0.575027153,8.95E-34,-0.000511671,0.993474377,0.575538824,c_high
RPS6,0.486759016,2.74E-23,-0.088402766,0.090378117,0.575161781,c_high
MRPL37,0.571051302,3.12E-33,-0.003914575,0.940751206,0.574965877,c_high
HAUS2,0.442680974,4.31E-19,-0.131126512,0.077659362,0.573807486,c_high
PAF1,0.55857234,1.41E-31,-0.014434199,0.795460012,0.573006538,c_high
SEH1L,0.643265971,2.31E-44,0.073744479,0.172367276,0.569521492,c_high
RRAGA,0.632021665,1.96E-42,0.063447424,0.294444855,0.56857424,c_high
TSEN54,0.614435164,1.42E-39,0.049007551,0.514740277,0.565427613,c_high
ZNRD1,0.402768172,8.74E-16,-0.161394561,0.063466391,0.564162733,c_high
CINP,0.598025301,4.63E-37,0.034175177,0.6215757,0.563850124,c_high
GLE1,0.628235164,8.38E-42,0.065951108,0.288456036,0.562284056,c_high
RPL17,0.587261353,1.72E-35,0.026182407,0.616622573,0.561078946,c_high
GNB2L1,0.543060041,1.29E-29,-0.017866469,0.743825052,0.56092651,c_high
SNRNP40,0.621688907,9.88E-41,0.060936517,0.248811843,0.560752391,c_high
CCT5,0.62917812,5.85E-42,0.069968158,0.18047383,0.559209962,c_high
RPS19BP1,0.527570826,9.34E-28,-0.031092228,0.638275643,0.558663054,c_high
PSMC4,0.53419798,1.54E-28,-0.02412641,0.644570907,0.55832439,c_high
NOL11,0.651207029,8.96E-46,0.093854686,0.082616718,0.557352343,c_high
NUP85,0.69973045,2.08E-55,0.144228759,0.006118199,0.555501691,c_high
URB2,0.472997923,6.51E-22,-0.080657148,0.153905223,0.553655071,c_high
TIMM22,0.577505247,4.07E-34,0.027198375,0.689639488,0.550306872,c_high
C19orf52,0.667272448,9.20E-49,0.117194257,0.061152831,0.550078191,c_high
PSMC5,0.609183146,9.40E-39,0.06048632,0.247092103,0.548696827,c_high
WDR46,0.641907788,3.99E-44,0.093989629,0.103635422,0.547918158,c_high
UTP6,0.489695779,1.37E-23,-0.057059886,0.327084041,0.546755665,c_high
EIF3I,0.520940972,5.47E-27,-0.025609616,0.624830199,0.546550588,c_high
POLR2B,0.619709644,2.06E-40,0.073601595,0.161124291,0.546108049,c_high
MRPL27,0.5855851,2.99E-35,0.04011401,0.494731188,0.54547109,c_high
TAF11,0.571798856,2.47E-33,0.026632505,0.731839017,0.545166351,c_high
INTS9,0.730323605,1.50E-62,0.185423735,0.001162746,0.54489987,c_high
RNF20,0.478755551,1.76E-22,-0.064043431,0.243822643,0.542798982,c_high
GPS1,0.600693928,1.85E-37,0.058080362,0.273748187,0.542613567,c_high
RPL23A,0.498795322,1.52E-24,-0.04365881,0.403678221,0.542454132,c_high
CCT6A,0.543518566,1.13E-29,0.001422633,0.97830181,0.542095933,c_high
PSMB2,0.522952171,3.21E-27,-0.016929288,0.746181524,0.539881459,c_high
NGDN,0.651306373,8.59E-46,0.111759889,0.066201793,0.539546484,c_high
